"description","sequence","time"
"tosses the object into the box","A0 B0 G0 A1 B0 P0 A0","0.36"
"tosses the object onto the table","A0 B0 G0 A1 B0 P0 A0","0.36"
"tosses the object onto the WIP","A0 B0 G0 A1 B0 P0 A0","0.36"
"tosses the object onto the fixture","A0 B0 G0 A1 B0 P0 A0","0.36"
"puts the component into the box","A0 B0 G0 A1 B0 P1 A0","0.72"
"puts the component onto the table","A0 B0 G0 A1 B0 P1 A0","0.72"
"puts the component onto the WIP","A0 B0 G0 A1 B0 P1 A0","0.72"
"puts the component onto the fixture","A0 B0 G0 A1 B0 P1 A0","0.72"
"puts the object into the box","A0 B0 G0 A1 B0 P1 A0","0.72"
"puts the object onto the table","A0 B0 G0 A1 B0 P1 A0","0.72"
"puts the object onto the WIP","A0 B0 G0 A1 B0 P1 A0","0.72"
"puts the object onto the fixture","A0 B0 G0 A1 B0 P1 A0","0.72"
"places the component into the box","A0 B0 G0 A1 B0 P3 A0","1.44"
"places the component onto the table","A0 B0 G0 A1 B0 P3 A0","1.44"
"places the component onto the WIP","A0 B0 G0 A1 B0 P3 A0","1.44"
"places the component onto the fixture","A0 B0 G0 A1 B0 P3 A0","1.44"
"places the object into the box","A0 B0 G0 A1 B0 P3 A0","1.44"
"places the object onto the table","A0 B0 G0 A1 B0 P3 A0","1.44"
"places the object onto the WIP","A0 B0 G0 A1 B0 P3 A0","1.44"
"places the object onto the fixture","A0 B0 G0 A1 B0 P3 A0","1.44"
"positions the component into the box","A0 B0 G0 A1 B0 P6 A0","2.52"
"positions the component onto the table","A0 B0 G0 A1 B0 P6 A0","2.52"
"positions the component onto the WIP","A0 B0 G0 A1 B0 P6 A0","2.52"
"positions the component onto the fixture","A0 B0 G0 A1 B0 P6 A0","2.52"
"positions the object into the box","A0 B0 G0 A1 B0 P6 A0","2.52"
"positions the object onto the table","A0 B0 G0 A1 B0 P6 A0","2.52"
"positions the object onto the WIP","A0 B0 G0 A1 B0 P6 A0","2.52"
"positions the object onto the fixture","A0 B0 G0 A1 B0 P6 A0","2.52"
"tosses the component into the box 50% of the time","A0 B0 G0 A1 B3 P0 A0","1.44"
"tosses the component onto the table 50% of the time","A0 B0 G0 A1 B3 P0 A0","1.44"
"tosses the component onto the WIP 50% of the time","A0 B0 G0 A1 B3 P0 A0","1.44"
"tosses the component onto the fixture 50% of the time","A0 B0 G0 A1 B3 P0 A0","1.44"
"tosses the object into the box 50% of the time","A0 B0 G0 A1 B3 P0 A0","1.44"
"tosses the object onto the table 50% of the time","A0 B0 G0 A1 B3 P0 A0","1.44"
"tosses the object onto the WIP 50% of the time","A0 B0 G0 A1 B3 P0 A0","1.44"
"tosses the object onto the fixture 50% of the time","A0 B0 G0 A1 B3 P0 A0","1.44"
"puts the component into the box 50% of the time","A0 B0 G0 A1 B3 P1 A0","1.7999999999999998"
"puts the component onto the table 50% of the time","A0 B0 G0 A1 B3 P1 A0","1.7999999999999998"
"puts the component onto the WIP 50% of the time","A0 B0 G0 A1 B3 P1 A0","1.7999999999999998"
"puts the component onto the fixture 50% of the time","A0 B0 G0 A1 B3 P1 A0","1.7999999999999998"
"puts the object into the box 50% of the time","A0 B0 G0 A1 B3 P1 A0","1.7999999999999998"
"puts the object onto the table 50% of the time","A0 B0 G0 A1 B3 P1 A0","1.7999999999999998"
"puts the object onto the WIP 50% of the time","A0 B0 G0 A1 B3 P1 A0","1.7999999999999998"
"puts the object onto the fixture 50% of the time","A0 B0 G0 A1 B3 P1 A0","1.7999999999999998"
"places the component into the box 50% of the time","A0 B0 G0 A1 B3 P3 A0","2.52"
"places the component onto the table 50% of the time","A0 B0 G0 A1 B3 P3 A0","2.52"
"places the component onto the WIP 50% of the time","A0 B0 G0 A1 B3 P3 A0","2.52"
"places the component onto the fixture 50% of the time","A0 B0 G0 A1 B3 P3 A0","2.52"
"places the object into the box 50% of the time","A0 B0 G0 A1 B3 P3 A0","2.52"
"places the object onto the table 50% of the time","A0 B0 G0 A1 B3 P3 A0","2.52"
"places the object onto the WIP 50% of the time","A0 B0 G0 A1 B3 P3 A0","2.52"
"places the object onto the fixture 50% of the time","A0 B0 G0 A1 B3 P3 A0","2.52"
"positions the component into the box 50% of the time","A0 B0 G0 A1 B3 P6 A0","3.5999999999999996"
"positions the component onto the table 50% of the time","A0 B0 G0 A1 B3 P6 A0","3.5999999999999996"
"positions the component onto the WIP 50% of the time","A0 B0 G0 A1 B3 P6 A0","3.5999999999999996"
"positions the component onto the fixture 50% of the time","A0 B0 G0 A1 B3 P6 A0","3.5999999999999996"
"positions the object into the box 50% of the time","A0 B0 G0 A1 B3 P6 A0","3.5999999999999996"
"positions the object onto the table 50% of the time","A0 B0 G0 A1 B3 P6 A0","3.5999999999999996"
"positions the object onto the WIP 50% of the time","A0 B0 G0 A1 B3 P6 A0","3.5999999999999996"
"positions the object onto the fixture 50% of the time","A0 B0 G0 A1 B3 P6 A0","3.5999999999999996"
"tosses the component into the box 100% of the time","A0 B0 G0 A1 B6 P0 A0","2.52"
"tosses the component onto the table 100% of the time","A0 B0 G0 A1 B6 P0 A0","2.52"
"tosses the component onto the WIP 100% of the time","A0 B0 G0 A1 B6 P0 A0","2.52"
"tosses the component onto the fixture 100% of the time","A0 B0 G0 A1 B6 P0 A0","2.52"
"tosses the object into the box 100% of the time","A0 B0 G0 A1 B6 P0 A0","2.52"
"tosses the object onto the table 100% of the time","A0 B0 G0 A1 B6 P0 A0","2.52"
"tosses the object onto the WIP 100% of the time","A0 B0 G0 A1 B6 P0 A0","2.52"
"tosses the object onto the fixture 100% of the time","A0 B0 G0 A1 B6 P0 A0","2.52"
"puts the component into the box 100% of the time","A0 B0 G0 A1 B6 P1 A0","2.88"
"puts the component onto the table 100% of the time","A0 B0 G0 A1 B6 P1 A0","2.88"
"puts the component onto the WIP 100% of the time","A0 B0 G0 A1 B6 P1 A0","2.88"
"puts the component onto the fixture 100% of the time","A0 B0 G0 A1 B6 P1 A0","2.88"
"puts the object into the box 100% of the time","A0 B0 G0 A1 B6 P1 A0","2.88"
"puts the object onto the table 100% of the time","A0 B0 G0 A1 B6 P1 A0","2.88"
"puts the object onto the WIP 100% of the time","A0 B0 G0 A1 B6 P1 A0","2.88"
"puts the object onto the fixture 100% of the time","A0 B0 G0 A1 B6 P1 A0","2.88"
"places the component into the box 100% of the time","A0 B0 G0 A1 B6 P3 A0","3.5999999999999996"
"places the component onto the table 100% of the time","A0 B0 G0 A1 B6 P3 A0","3.5999999999999996"
"places the component onto the WIP 100% of the time","A0 B0 G0 A1 B6 P3 A0","3.5999999999999996"
"places the component onto the fixture 100% of the time","A0 B0 G0 A1 B6 P3 A0","3.5999999999999996"
"places the object into the box 100% of the time","A0 B0 G0 A1 B6 P3 A0","3.5999999999999996"
"places the object onto the table 100% of the time","A0 B0 G0 A1 B6 P3 A0","3.5999999999999996"
"places the object onto the WIP 100% of the time","A0 B0 G0 A1 B6 P3 A0","3.5999999999999996"
"places the object onto the fixture 100% of the time","A0 B0 G0 A1 B6 P3 A0","3.5999999999999996"
"positions the component into the box 100% of the time","A0 B0 G0 A1 B6 P6 A0","4.68"
"positions the component onto the table 100% of the time","A0 B0 G0 A1 B6 P6 A0","4.68"
"positions the component onto the WIP 100% of the time","A0 B0 G0 A1 B6 P6 A0","4.68"
"positions the component onto the fixture 100% of the time","A0 B0 G0 A1 B6 P6 A0","4.68"
"positions the object into the box 100% of the time","A0 B0 G0 A1 B6 P6 A0","4.68"
"positions the object onto the table 100% of the time","A0 B0 G0 A1 B6 P6 A0","4.68"
"positions the object onto the WIP 100% of the time","A0 B0 G0 A1 B6 P6 A0","4.68"
"positions the object onto the fixture 100% of the time","A0 B0 G0 A1 B6 P6 A0","4.68"
"tosses the component into the box 100% of the times with adjustment","A0 B0 G0 A1 B10 P0 A0","3.9599999999999995"
"tosses the component onto the table 100% of the times with adjustment","A0 B0 G0 A1 B10 P0 A0","3.9599999999999995"
"tosses the component onto the WIP 100% of the times with adjustment","A0 B0 G0 A1 B10 P0 A0","3.9599999999999995"
"tosses the component onto the fixture 100% of the times with adjustment","A0 B0 G0 A1 B10 P0 A0","3.9599999999999995"
"tosses the object into the box 100% of the times with adjustment","A0 B0 G0 A1 B10 P0 A0","3.9599999999999995"
"tosses the object onto the table 100% of the times with adjustment","A0 B0 G0 A1 B10 P0 A0","3.9599999999999995"
"tosses the object onto the WIP 100% of the times with adjustment","A0 B0 G0 A1 B10 P0 A0","3.9599999999999995"
"tosses the object onto the fixture 100% of the times with adjustment","A0 B0 G0 A1 B10 P0 A0","3.9599999999999995"
"puts the component into the box 100% of the times with adjustment","A0 B0 G0 A1 B10 P1 A0","4.319999999999999"
"puts the component onto the table 100% of the times with adjustment","A0 B0 G0 A1 B10 P1 A0","4.319999999999999"
"puts the component onto the WIP 100% of the times with adjustment","A0 B0 G0 A1 B10 P1 A0","4.319999999999999"
"puts the component onto the fixture 100% of the times with adjustment","A0 B0 G0 A1 B10 P1 A0","4.319999999999999"
"puts the object into the box 100% of the times with adjustment","A0 B0 G0 A1 B10 P1 A0","4.319999999999999"
"puts the object onto the table 100% of the times with adjustment","A0 B0 G0 A1 B10 P1 A0","4.319999999999999"
"puts the object onto the WIP 100% of the times with adjustment","A0 B0 G0 A1 B10 P1 A0","4.319999999999999"
"puts the object onto the fixture 100% of the times with adjustment","A0 B0 G0 A1 B10 P1 A0","4.319999999999999"
"places the component into the box 100% of the times with adjustment","A0 B0 G0 A1 B10 P3 A0","5.04"
"places the component onto the table 100% of the times with adjustment","A0 B0 G0 A1 B10 P3 A0","5.04"
"places the component onto the WIP 100% of the times with adjustment","A0 B0 G0 A1 B10 P3 A0","5.04"
"places the component onto the fixture 100% of the times with adjustment","A0 B0 G0 A1 B10 P3 A0","5.04"
"places the object into the box 100% of the times with adjustment","A0 B0 G0 A1 B10 P3 A0","5.04"
"places the object onto the table 100% of the times with adjustment","A0 B0 G0 A1 B10 P3 A0","5.04"
"places the object onto the WIP 100% of the times with adjustment","A0 B0 G0 A1 B10 P3 A0","5.04"
"places the object onto the fixture 100% of the times with adjustment","A0 B0 G0 A1 B10 P3 A0","5.04"
"positions the component into the box 100% of the times with adjustment","A0 B0 G0 A1 B10 P6 A0","6.119999999999999"
"positions the component onto the table 100% of the times with adjustment","A0 B0 G0 A1 B10 P6 A0","6.119999999999999"
"positions the component onto the WIP 100% of the times with adjustment","A0 B0 G0 A1 B10 P6 A0","6.119999999999999"
"positions the component onto the fixture 100% of the times with adjustment","A0 B0 G0 A1 B10 P6 A0","6.119999999999999"
"positions the object into the box 100% of the times with adjustment","A0 B0 G0 A1 B10 P6 A0","6.119999999999999"
"positions the object onto the table 100% of the times with adjustment","A0 B0 G0 A1 B10 P6 A0","6.119999999999999"
"positions the object onto the WIP 100% of the times with adjustment","A0 B0 G0 A1 B10 P6 A0","6.119999999999999"
"positions the object onto the fixture 100% of the times with adjustment","A0 B0 G0 A1 B10 P6 A0","6.119999999999999"
"tosses the component into the box in 1 or 2 steps ","A0 B0 G0 A3 B0 P0 A0","1.0799999999999998"
"tosses the component onto the table in 1 or 2 steps","A0 B0 G0 A3 B0 P0 A0","1.0799999999999998"
"tosses the component onto the WIP in 1 or 2 steps","A0 B0 G0 A3 B0 P0 A0","1.0799999999999998"
"tosses the component onto the fixture in 1 or 2 steps","A0 B0 G0 A3 B0 P0 A0","1.0799999999999998"
"tosses the object into the box in 1 or 2 steps","A0 B0 G0 A3 B0 P0 A0","1.0799999999999998"
"tosses the object onto the table in 1 or 2 steps","A0 B0 G0 A3 B0 P0 A0","1.0799999999999998"
"tosses the object onto the WIP in 1 or 2 steps","A0 B0 G0 A3 B0 P0 A0","1.0799999999999998"
"tosses the object onto the fixture in 1 or 2 steps","A0 B0 G0 A3 B0 P0 A0","1.0799999999999998"
"puts the component into the box in 1 or 2 steps","A0 B0 G0 A3 B0 P1 A0","1.44"
"puts the component onto the table in 1 or 2 steps","A0 B0 G0 A3 B0 P1 A0","1.44"
"puts the component onto the WIP in 1 or 2 steps","A0 B0 G0 A3 B0 P1 A0","1.44"
"puts the component onto the fixture in 1 or 2 steps","A0 B0 G0 A3 B0 P1 A0","1.44"
"puts the object into the box in 1 or 2 steps","A0 B0 G0 A3 B0 P1 A0","1.44"
"puts the object onto the table in 1 or 2 steps","A0 B0 G0 A3 B0 P1 A0","1.44"
"puts the object onto the WIP in 1 or 2 steps","A0 B0 G0 A3 B0 P1 A0","1.44"
"puts the object onto the fixture in 1 or 2 steps","A0 B0 G0 A3 B0 P1 A0","1.44"
"places the component into the box in 1 or 2 steps","A0 B0 G0 A3 B0 P3 A0","2.1599999999999997"
"places the component onto the table in 1 or 2 steps","A0 B0 G0 A3 B0 P3 A0","2.1599999999999997"
"places the component onto the WIP in 1 or 2 steps","A0 B0 G0 A3 B0 P3 A0","2.1599999999999997"
"places the component onto the fixture in 1 or 2 steps","A0 B0 G0 A3 B0 P3 A0","2.1599999999999997"
"places the object into the box in 1 or 2 steps","A0 B0 G0 A3 B0 P3 A0","2.1599999999999997"
"places the object onto the table in 1 or 2 steps","A0 B0 G0 A3 B0 P3 A0","2.1599999999999997"
"places the object onto the WIP in 1 or 2 steps","A0 B0 G0 A3 B0 P3 A0","2.1599999999999997"
"places the object onto the fixture in 1 or 2 steps","A0 B0 G0 A3 B0 P3 A0","2.1599999999999997"
"positions the component into the box in 1 or 2 steps","A0 B0 G0 A3 B0 P6 A0","3.2399999999999998"
"positions the component onto the table in 1 or 2 steps","A0 B0 G0 A3 B0 P6 A0","3.2399999999999998"
"positions the component onto the WIP in 1 or 2 steps","A0 B0 G0 A3 B0 P6 A0","3.2399999999999998"
"positions the component onto the fixture in 1 or 2 steps","A0 B0 G0 A3 B0 P6 A0","3.2399999999999998"
"positions the object into the box in 1 or 2 steps","A0 B0 G0 A3 B0 P6 A0","3.2399999999999998"
"positions the object onto the table in 1 or 2 steps","A0 B0 G0 A3 B0 P6 A0","3.2399999999999998"
"positions the object onto the WIP in 1 or 2 steps","A0 B0 G0 A3 B0 P6 A0","3.2399999999999998"
"positions the object onto the fixture in 1 or 2 steps","A0 B0 G0 A3 B0 P6 A0","3.2399999999999998"
"tosses the component into the box in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P0 A0","2.1599999999999997"
"tosses the component onto the table in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P0 A0","2.1599999999999997"
"tosses the component onto the WIP in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P0 A0","2.1599999999999997"
"tosses the component onto the fixture in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P0 A0","2.1599999999999997"
"tosses the object into the box in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P0 A0","2.1599999999999997"
"tosses the object onto the table in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P0 A0","2.1599999999999997"
"tosses the object onto the WIP in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P0 A0","2.1599999999999997"
"tosses the object onto the fixture in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P0 A0","2.1599999999999997"
"puts the component into the box in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P1 A0","2.52"
"puts the component onto the table in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P1 A0","2.52"
"puts the component onto the WIP in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P1 A0","2.52"
"puts the component onto the fixture in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P1 A0","2.52"
"puts the object into the box in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P1 A0","2.52"
"puts the object onto the table in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P1 A0","2.52"
"puts the object onto the WIP in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P1 A0","2.52"
"puts the object onto the fixture in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P1 A0","2.52"
"places the component into the box in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P3 A0","3.2399999999999998"
"places the component onto the table in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P3 A0","3.2399999999999998"
"places the component onto the WIP in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P3 A0","3.2399999999999998"
"places the component onto the fixture in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P3 A0","3.2399999999999998"
"places the object into the box in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P3 A0","3.2399999999999998"
"places the object onto the table in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P3 A0","3.2399999999999998"
"places the object onto the WIP in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P3 A0","3.2399999999999998"
"places the object onto the fixture in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P3 A0","3.2399999999999998"
"positions the component into the box in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P6 A0","4.319999999999999"
"positions the component onto the table in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P6 A0","4.319999999999999"
"positions the component onto the WIP in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P6 A0","4.319999999999999"
"positions the component onto the fixture in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P6 A0","4.319999999999999"
"positions the object into the box in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P6 A0","4.319999999999999"
"positions the object onto the table in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P6 A0","4.319999999999999"
"positions the object onto the WIP in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P6 A0","4.319999999999999"
"positions the object onto the fixture in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P6 A0","4.319999999999999"
"tosses the component into the box in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P0 A0","3.2399999999999998"
"tosses the component onto the table in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P0 A0","3.2399999999999998"
"tosses the component onto the WIP in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P0 A0","3.2399999999999998"
"tosses the component onto the fixture in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P0 A0","3.2399999999999998"
"tosses the object into the box in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P0 A0","3.2399999999999998"
"tosses the object onto the table in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P0 A0","3.2399999999999998"
"tosses the object onto the WIP in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P0 A0","3.2399999999999998"
"tosses the object onto the fixture in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P0 A0","3.2399999999999998"
"puts the component into the box in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P1 A0","3.5999999999999996"
"puts the component onto the table in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P1 A0","3.5999999999999996"
"puts the component onto the WIP in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P1 A0","3.5999999999999996"
"puts the component onto the fixture in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P1 A0","3.5999999999999996"
"puts the object into the box in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P1 A0","3.5999999999999996"
"puts the object onto the table in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P1 A0","3.5999999999999996"
"puts the object onto the WIP in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P1 A0","3.5999999999999996"
"puts the object onto the fixture in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P1 A0","3.5999999999999996"
"places the component into the box in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P3 A0","4.319999999999999"
"places the component onto the table in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P3 A0","4.319999999999999"
"places the component onto the WIP in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P3 A0","4.319999999999999"
"places the component onto the fixture in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P3 A0","4.319999999999999"
"places the object into the box in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P3 A0","4.319999999999999"
"places the object onto the table in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P3 A0","4.319999999999999"
"places the object onto the WIP in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P3 A0","4.319999999999999"
"places the object onto the fixture in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P3 A0","4.319999999999999"
"positions the component into the box in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P6 A0","5.3999999999999995"
"positions the component onto the table in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P6 A0","5.3999999999999995"
"positions the component onto the WIP in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P6 A0","5.3999999999999995"
"positions the component onto the fixture in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P6 A0","5.3999999999999995"
"positions the object into the box in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P6 A0","5.3999999999999995"
"positions the object onto the table in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P6 A0","5.3999999999999995"
"positions the object onto the WIP in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P6 A0","5.3999999999999995"
"positions the object onto the fixture in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P6 A0","5.3999999999999995"
"tosses the component into the box in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P0 A0","4.68"
"tosses the component onto the table in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P0 A0","4.68"
"tosses the component onto the WIP in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P0 A0","4.68"
"tosses the component onto the fixture in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P0 A0","4.68"
"tosses the object into the box in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P0 A0","4.68"
"tosses the object onto the table in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P0 A0","4.68"
"tosses the object onto the WIP in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P0 A0","4.68"
"tosses the object onto the fixture in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P0 A0","4.68"
"puts the component into the box in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P1 A0","5.04"
"puts the component onto the table in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P1 A0","5.04"
"puts the component onto the WIP in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P1 A0","5.04"
"puts the component onto the fixture in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P1 A0","5.04"
"puts the object into the box in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P1 A0","5.04"
"puts the object onto the table in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P1 A0","5.04"
"puts the object onto the WIP in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P1 A0","5.04"
"puts the object onto the fixture in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P1 A0","5.04"
"places the component into the box in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P3 A0","5.76"
"places the component onto the table in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P3 A0","5.76"
"places the component onto the WIP in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P3 A0","5.76"
"places the component onto the fixture in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P3 A0","5.76"
"places the object into the box in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P3 A0","5.76"
"places the object onto the table in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P3 A0","5.76"
"places the object onto the WIP in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P3 A0","5.76"
"places the object onto the fixture in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P3 A0","5.76"
"positions the component into the box in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P6 A0","6.84"
"positions the component onto the table in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P6 A0","6.84"
"positions the component onto the WIP in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P6 A0","6.84"
"positions the component onto the fixture in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P6 A0","6.84"
"positions the object into the box in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P6 A0","6.84"
"positions the object onto the table in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P6 A0","6.84"
"positions the object onto the WIP in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P6 A0","6.84"
"positions the object onto the fixture in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P6 A0","6.84"
"tosses the component into the box in 3 or 4 steps ","A0 B0 G0 A6 B0 P0 A0","2.1599999999999997"
"tosses the component onto the table in 3 or 4 steps","A0 B0 G0 A6 B0 P0 A0","2.1599999999999997"
"tosses the component onto the WIP in 3 or 4 steps","A0 B0 G0 A6 B0 P0 A0","2.1599999999999997"
"tosses the component onto the fixture in 3 or 4 steps","A0 B0 G0 A6 B0 P0 A0","2.1599999999999997"
"tosses the object into the box in 3 or 4 steps","A0 B0 G0 A6 B0 P0 A0","2.1599999999999997"
"tosses the object onto the table in 3 or 4 steps","A0 B0 G0 A6 B0 P0 A0","2.1599999999999997"
"tosses the object onto the WIP in 3 or 4 steps","A0 B0 G0 A6 B0 P0 A0","2.1599999999999997"
"tosses the object onto the fixture in 3 or 4 steps","A0 B0 G0 A6 B0 P0 A0","2.1599999999999997"
"puts the component into the box in 3 or 4 steps","A0 B0 G0 A6 B0 P1 A0","2.52"
"puts the component onto the table in 3 or 4 steps","A0 B0 G0 A6 B0 P1 A0","2.52"
"puts the component onto the WIP in 3 or 4 steps","A0 B0 G0 A6 B0 P1 A0","2.52"
"puts the component onto the fixture in 3 or 4 steps","A0 B0 G0 A6 B0 P1 A0","2.52"
"puts the object into the box in 3 or 4 steps","A0 B0 G0 A6 B0 P1 A0","2.52"
"puts the object onto the table in 3 or 4 steps","A0 B0 G0 A6 B0 P1 A0","2.52"
"puts the object onto the WIP in 3 or 4 steps","A0 B0 G0 A6 B0 P1 A0","2.52"
"puts the object onto the fixture in 3 or 4 steps","A0 B0 G0 A6 B0 P1 A0","2.52"
"places the component into the box in 3 or 4 steps","A0 B0 G0 A6 B0 P3 A0","3.2399999999999998"
"places the component onto the table in 3 or 4 steps","A0 B0 G0 A6 B0 P3 A0","3.2399999999999998"
"places the component onto the WIP in 3 or 4 steps","A0 B0 G0 A6 B0 P3 A0","3.2399999999999998"
"places the component onto the fixture in 3 or 4 steps","A0 B0 G0 A6 B0 P3 A0","3.2399999999999998"
"places the object into the box in 3 or 4 steps","A0 B0 G0 A6 B0 P3 A0","3.2399999999999998"
"places the object onto the table in 3 or 4 steps","A0 B0 G0 A6 B0 P3 A0","3.2399999999999998"
"places the object onto the WIP in 3 or 4 steps","A0 B0 G0 A6 B0 P3 A0","3.2399999999999998"
"places the object onto the fixture in 3 or 4 steps","A0 B0 G0 A6 B0 P3 A0","3.2399999999999998"
"positions the component into the box in 3 or 4 steps","A0 B0 G0 A6 B0 P6 A0","4.319999999999999"
