"description","sequence"
"tosses the component onto the WIP in 1 or 2 steps","A0 B0 G0 A3 B0 P0 A0"
"tosses the component onto the fixture in 1 or 2 steps","A0 B0 G0 A3 B0 P0 A0"
"tosses the object into the box in 1 or 2 steps","A0 B0 G0 A3 B0 P0 A0"
"tosses the object onto the table in 1 or 2 steps","A0 B0 G0 A3 B0 P0 A0"
"tosses the object onto the WIP in 1 or 2 steps","A0 B0 G0 A3 B0 P0 A0"
"tosses the object onto the fixture in 1 or 2 steps","A0 B0 G0 A3 B0 P0 A0"
"puts the component into the box in 1 or 2 steps","A0 B0 G0 A3 B0 P1 A0"
"puts the component onto the table in 1 or 2 steps","A0 B0 G0 A3 B0 P1 A0"
"puts the component onto the WIP in 1 or 2 steps","A0 B0 G0 A3 B0 P1 A0"
"puts the component onto the fixture in 1 or 2 steps","A0 B0 G0 A3 B0 P1 A0"
"puts the object into the box in 1 or 2 steps","A0 B0 G0 A3 B0 P1 A0"
"puts the object onto the table in 1 or 2 steps","A0 B0 G0 A3 B0 P1 A0"
"puts the object onto the WIP in 1 or 2 steps","A0 B0 G0 A3 B0 P1 A0"
"puts the object onto the fixture in 1 or 2 steps","A0 B0 G0 A3 B0 P1 A0"
"places the component into the box in 1 or 2 steps","A0 B0 G0 A3 B0 P3 A0"
"places the component onto the table in 1 or 2 steps","A0 B0 G0 A3 B0 P3 A0"
"places the component onto the WIP in 1 or 2 steps","A0 B0 G0 A3 B0 P3 A0"
"places the component onto the fixture in 1 or 2 steps","A0 B0 G0 A3 B0 P3 A0"
"places the object into the box in 1 or 2 steps","A0 B0 G0 A3 B0 P3 A0"
"places the object onto the table in 1 or 2 steps","A0 B0 G0 A3 B0 P3 A0"
"places the object onto the WIP in 1 or 2 steps","A0 B0 G0 A3 B0 P3 A0"
"places the object onto the fixture in 1 or 2 steps","A0 B0 G0 A3 B0 P3 A0"
"positions the component into the box in 1 or 2 steps","A0 B0 G0 A3 B0 P6 A0"
"positions the component onto the table in 1 or 2 steps","A0 B0 G0 A3 B0 P6 A0"
"positions the component onto the WIP in 1 or 2 steps","A0 B0 G0 A3 B0 P6 A0"
"positions the component onto the fixture in 1 or 2 steps","A0 B0 G0 A3 B0 P6 A0"
"positions the object into the box in 1 or 2 steps","A0 B0 G0 A3 B0 P6 A0"
"positions the object onto the table in 1 or 2 steps","A0 B0 G0 A3 B0 P6 A0"
"positions the object onto the WIP in 1 or 2 steps","A0 B0 G0 A3 B0 P6 A0"
"positions the object onto the fixture in 1 or 2 steps","A0 B0 G0 A3 B0 P6 A0"
"tosses the component into the box in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P0 A0"
"tosses the component onto the table in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P0 A0"
"tosses the component onto the WIP in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P0 A0"
"tosses the component onto the fixture in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P0 A0"
"tosses the object into the box in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P0 A0"
"tosses the object onto the table in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P0 A0"
"tosses the object onto the WIP in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P0 A0"
"tosses the object onto the fixture in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P0 A0"
"puts the component into the box in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P1 A0"
"puts the component onto the table in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P1 A0"
"puts the component onto the WIP in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P1 A0"
"puts the component onto the fixture in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P1 A0"
"puts the object into the box in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P1 A0"
"puts the object onto the table in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P1 A0"
"puts the object onto the WIP in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P1 A0"
"puts the object onto the fixture in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P1 A0"
"places the component into the box in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P3 A0"
"places the component onto the table in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P3 A0"
"places the component onto the WIP in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P3 A0"
"places the component onto the fixture in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P3 A0"
"places the object into the box in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P3 A0"
"places the object onto the table in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P3 A0"
"places the object onto the WIP in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P3 A0"
"places the object onto the fixture in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P3 A0"
"positions the component into the box in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P6 A0"
"positions the component onto the table in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P6 A0"
"positions the component onto the WIP in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P6 A0"
"positions the component onto the fixture in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P6 A0"
"positions the object into the box in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P6 A0"
"positions the object onto the table in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P6 A0"
"positions the object onto the WIP in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P6 A0"
"positions the object onto the fixture in 1 or 2 steps, 50% of the time","A0 B0 G0 A3 B3 P6 A0"
"tosses the component into the box in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P0 A0"
"tosses the component onto the table in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P0 A0"
"tosses the component onto the WIP in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P0 A0"
"tosses the component onto the fixture in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P0 A0"
"tosses the object into the box in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P0 A0"
"tosses the object onto the table in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P0 A0"
"tosses the object onto the WIP in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P0 A0"
"tosses the object onto the fixture in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P0 A0"
"puts the component into the box in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P1 A0"
"puts the component onto the table in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P1 A0"
"puts the component onto the WIP in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P1 A0"
"puts the component onto the fixture in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P1 A0"
"puts the object into the box in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P1 A0"
"puts the object onto the table in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P1 A0"
"puts the object onto the WIP in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P1 A0"
"puts the object onto the fixture in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P1 A0"
"places the component into the box in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P3 A0"
"places the component onto the table in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P3 A0"
"places the component onto the WIP in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P3 A0"
"places the component onto the fixture in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P3 A0"
"places the object into the box in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P3 A0"
"places the object onto the table in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P3 A0"
"places the object onto the WIP in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P3 A0"
"places the object onto the fixture in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P3 A0"
"positions the component into the box in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P6 A0"
"positions the component onto the table in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P6 A0"
"positions the component onto the WIP in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P6 A0"
"positions the component onto the fixture in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P6 A0"
"positions the object into the box in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P6 A0"
"positions the object onto the table in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P6 A0"
"positions the object onto the WIP in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P6 A0"
"positions the object onto the fixture in 1 or 2 steps, 100% of the time","A0 B0 G0 A3 B6 P6 A0"
"tosses the component into the box in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P0 A0"
"tosses the component onto the table in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P0 A0"
"tosses the component onto the WIP in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P0 A0"
"tosses the component onto the fixture in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P0 A0"
"tosses the object into the box in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P0 A0"
"tosses the object onto the table in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P0 A0"
"tosses the object onto the WIP in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P0 A0"
"tosses the object onto the fixture in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P0 A0"
"puts the component into the box in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P1 A0"
"puts the component onto the table in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P1 A0"
"puts the component onto the WIP in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P1 A0"
"puts the component onto the fixture in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P1 A0"
"puts the object into the box in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P1 A0"
"puts the object onto the table in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P1 A0"
"puts the object onto the WIP in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P1 A0"
"puts the object onto the fixture in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P1 A0"
"places the component into the box in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P3 A0"
"places the component onto the table in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P3 A0"
"places the component onto the WIP in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P3 A0"
"places the component onto the fixture in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P3 A0"
"places the object into the box in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P3 A0"
"places the object onto the table in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P3 A0"
"places the object onto the WIP in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P3 A0"
"places the object onto the fixture in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P3 A0"
"positions the component into the box in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P6 A0"
"positions the component onto the table in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P6 A0"
"positions the component onto the WIP in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P6 A0"
"positions the component onto the fixture in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P6 A0"
"positions the object into the box in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P6 A0"
"positions the object onto the table in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P6 A0"
"positions the object onto the WIP in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P6 A0"
"positions the object onto the fixture in 1 or 2 steps, 100% of the times with adjustment","A0 B0 G0 A3 B10 P6 A0"
"tosses the component into the box in 3 or 4 steps ","A0 B0 G0 A6 B0 P0 A0"
"tosses the component onto the table in 3 or 4 steps","A0 B0 G0 A6 B0 P0 A0"
"tosses the component onto the WIP in 3 or 4 steps","A0 B0 G0 A6 B0 P0 A0"
"tosses the component onto the fixture in 3 or 4 steps","A0 B0 G0 A6 B0 P0 A0"
"tosses the object into the box in 3 or 4 steps","A0 B0 G0 A6 B0 P0 A0"
"tosses the object onto the table in 3 or 4 steps","A0 B0 G0 A6 B0 P0 A0"
"tosses the object onto the WIP in 3 or 4 steps","A0 B0 G0 A6 B0 P0 A0"
"tosses the object onto the fixture in 3 or 4 steps","A0 B0 G0 A6 B0 P0 A0"
"puts the component into the box in 3 or 4 steps","A0 B0 G0 A6 B0 P1 A0"
"puts the component onto the table in 3 or 4 steps","A0 B0 G0 A6 B0 P1 A0"
"puts the component onto the WIP in 3 or 4 steps","A0 B0 G0 A6 B0 P1 A0"
"puts the component onto the fixture in 3 or 4 steps","A0 B0 G0 A6 B0 P1 A0"
"puts the object into the box in 3 or 4 steps","A0 B0 G0 A6 B0 P1 A0"
"puts the object onto the table in 3 or 4 steps","A0 B0 G0 A6 B0 P1 A0"
"puts the object onto the WIP in 3 or 4 steps","A0 B0 G0 A6 B0 P1 A0"
"puts the object onto the fixture in 3 or 4 steps","A0 B0 G0 A6 B0 P1 A0"
"places the component into the box in 3 or 4 steps","A0 B0 G0 A6 B0 P3 A0"
"places the component onto the table in 3 or 4 steps","A0 B0 G0 A6 B0 P3 A0"
"places the component onto the WIP in 3 or 4 steps","A0 B0 G0 A6 B0 P3 A0"
"places the component onto the fixture in 3 or 4 steps","A0 B0 G0 A6 B0 P3 A0"
"places the object into the box in 3 or 4 steps","A0 B0 G0 A6 B0 P3 A0"
"places the object onto the table in 3 or 4 steps","A0 B0 G0 A6 B0 P3 A0"
"places the object onto the WIP in 3 or 4 steps","A0 B0 G0 A6 B0 P3 A0"
"places the object onto the fixture in 3 or 4 steps","A0 B0 G0 A6 B0 P3 A0"
"positions the component into the box in 3 or 4 steps","A0 B0 G0 A6 B0 P6 A0"
"positions the component onto the table in 3 or 4 steps","A0 B0 G0 A6 B0 P6 A0"
"positions the component onto the WIP in 3 or 4 steps","A0 B0 G0 A6 B0 P6 A0"
"positions the component onto the fixture in 3 or 4 steps","A0 B0 G0 A6 B0 P6 A0"
"positions the object into the box in 3 or 4 steps","A0 B0 G0 A6 B0 P6 A0"
"positions the object onto the table in 3 or 4 steps","A0 B0 G0 A6 B0 P6 A0"
"positions the object onto the WIP in 3 or 4 steps","A0 B0 G0 A6 B0 P6 A0"
"positions the object onto the fixture in 3 or 4 steps","A0 B0 G0 A6 B0 P6 A0"
"tosses the component into the box in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P0 A0"
"tosses the component onto the table in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P0 A0"
"tosses the component onto the WIP in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P0 A0"
"tosses the component onto the fixture in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P0 A0"
"tosses the object into the box in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P0 A0"
"tosses the object onto the table in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P0 A0"
"tosses the object onto the WIP in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P0 A0"
"tosses the object onto the fixture in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P0 A0"
"puts the component into the box in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P1 A0"
"puts the component onto the table in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P1 A0"
"puts the component onto the WIP in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P1 A0"
"puts the component onto the fixture in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P1 A0"
"puts the object into the box in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P1 A0"
"puts the object onto the table in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P1 A0"
"puts the object onto the WIP in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P1 A0"
"puts the object onto the fixture in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P1 A0"
"places the component into the box in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P3 A0"
"places the component onto the table in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P3 A0"
"places the component onto the WIP in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P3 A0"
"places the component onto the fixture in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P3 A0"
"places the object into the box in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P3 A0"
"places the object onto the table in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P3 A0"
"places the object onto the WIP in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P3 A0"
"places the object onto the fixture in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P3 A0"
"positions the component into the box in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P6 A0"
"positions the component onto the table in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P6 A0"
"positions the component onto the WIP in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P6 A0"
"positions the component onto the fixture in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P6 A0"
"positions the object into the box in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P6 A0"
"positions the object onto the table in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P6 A0"
"positions the object onto the WIP in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P6 A0"
"positions the object onto the fixture in 3 or 4 steps, 50% of the time","A0 B0 G0 A6 B3 P6 A0"
"tosses the component into the box in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P0 A0"
"tosses the component onto the table in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P0 A0"
"tosses the component onto the WIP in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P0 A0"
"tosses the component onto the fixture in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P0 A0"
"tosses the object into the box in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P0 A0"
"tosses the object onto the table in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P0 A0"
"tosses the object onto the WIP in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P0 A0"
"tosses the object onto the fixture in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P0 A0"
"puts the component into the box in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P1 A0"
"puts the component onto the table in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P1 A0"
"puts the component onto the WIP in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P1 A0"
"puts the component onto the fixture in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P1 A0"
"puts the object into the box in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P1 A0"
"puts the object onto the table in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P1 A0"
"puts the object onto the WIP in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P1 A0"
"puts the object onto the fixture in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P1 A0"
"places the component into the box in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P3 A0"
"places the component onto the table in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P3 A0"
"places the component onto the WIP in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P3 A0"
"places the component onto the fixture in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P3 A0"
"places the object into the box in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P3 A0"
"places the object onto the table in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P3 A0"
"places the object onto the WIP in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P3 A0"
"places the object onto the fixture in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P3 A0"
"positions the component into the box in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P6 A0"
"positions the component onto the table in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P6 A0"
"positions the component onto the WIP in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P6 A0"
"positions the component onto the fixture in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P6 A0"
"positions the object into the box in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P6 A0"
"positions the object onto the table in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P6 A0"
"positions the object onto the WIP in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P6 A0"
"positions the object onto the fixture in 3 or 4 steps, 100% of the time","A0 B0 G0 A6 B6 P6 A0"
"tosses the component into the box in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P0 A0"
"tosses the component onto the table in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P0 A0"
"tosses the component onto the WIP in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P0 A0"
"tosses the component onto the fixture in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P0 A0"
"tosses the object into the box in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P0 A0"
"tosses the object onto the table in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P0 A0"
"tosses the object onto the WIP in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P0 A0"
"tosses the object onto the fixture in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P0 A0"
"puts the component into the box in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P1 A0"
"puts the component onto the table in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P1 A0"
"puts the component onto the WIP in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P1 A0"
"puts the component onto the fixture in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P1 A0"
"puts the object into the box in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P1 A0"
"puts the object onto the table in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P1 A0"
"puts the object onto the WIP in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P1 A0"
"puts the object onto the fixture in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P1 A0"
"places the component into the box in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P3 A0"
"places the component onto the table in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P3 A0"
"places the component onto the WIP in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P3 A0"
"places the component onto the fixture in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P3 A0"
"places the object into the box in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P3 A0"
"places the object onto the table in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P3 A0"
"places the object onto the WIP in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P3 A0"
"places the object onto the fixture in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P3 A0"
"positions the component into the box in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P6 A0"
"positions the component onto the table in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P6 A0"
"positions the component onto the WIP in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P6 A0"
"positions the component onto the fixture in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P6 A0"
"positions the object into the box in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P6 A0"
"positions the object onto the table in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P6 A0"
"positions the object onto the WIP in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P6 A0"
"positions the object onto the fixture in 3 or 4 steps, 100% of the times with adjustment","A0 B0 G0 A6 B10 P6 A0"
"tosses the component into the box in 5 or 7 steps ","A0 B0 G0 A10 B0 P0 A0"
"tosses the component onto the table in 5 or 7 steps","A0 B0 G0 A10 B0 P0 A0"
"tosses the component onto the WIP in 5 or 7 steps","A0 B0 G0 A10 B0 P0 A0"
"tosses the component onto the fixture in 5 or 7 steps","A0 B0 G0 A10 B0 P0 A0"
"tosses the object into the box in 5 or 7 steps","A0 B0 G0 A10 B0 P0 A0"
"tosses the object onto the table in 5 or 7 steps","A0 B0 G0 A10 B0 P0 A0"
"tosses the object onto the WIP in 5 or 7 steps","A0 B0 G0 A10 B0 P0 A0"
"tosses the object onto the fixture in 5 or 7 steps","A0 B0 G0 A10 B0 P0 A0"
"puts the component into the box in 5 or 7 steps","A0 B0 G0 A10 B0 P1 A0"
"puts the component onto the table in 5 or 7 steps","A0 B0 G0 A10 B0 P1 A0"
"puts the component onto the WIP in 5 or 7 steps","A0 B0 G0 A10 B0 P1 A0"
"puts the component onto the fixture in 5 or 7 steps","A0 B0 G0 A10 B0 P1 A0"
"puts the object into the box in 5 or 7 steps","A0 B0 G0 A10 B0 P1 A0"
"puts the object onto the table in 5 or 7 steps","A0 B0 G0 A10 B0 P1 A0"
"puts the object onto the WIP in 5 or 7 steps","A0 B0 G0 A10 B0 P1 A0"
"puts the object onto the fixture in 5 or 7 steps","A0 B0 G0 A10 B0 P1 A0"
"places the component into the box in 5 or 7 steps","A0 B0 G0 A10 B0 P3 A0"
"places the component onto the table in 5 or 7 steps","A0 B0 G0 A10 B0 P3 A0"
"places the component onto the WIP in 5 or 7 steps","A0 B0 G0 A10 B0 P3 A0"
"places the component onto the fixture in 5 or 7 steps","A0 B0 G0 A10 B0 P3 A0"
"places the object into the box in 5 or 7 steps","A0 B0 G0 A10 B0 P3 A0"
"places the object onto the table in 5 or 7 steps","A0 B0 G0 A10 B0 P3 A0"
"places the object onto the WIP in 5 or 7 steps","A0 B0 G0 A10 B0 P3 A0"
"places the object onto the fixture in 5 or 7 steps","A0 B0 G0 A10 B0 P3 A0"
"positions the component into the box in 5 or 7 steps","A0 B0 G0 A10 B0 P6 A0"
"positions the component onto the table in 5 or 7 steps","A0 B0 G0 A10 B0 P6 A0"
"positions the component onto the WIP in 5 or 7 steps","A0 B0 G0 A10 B0 P6 A0"
"positions the component onto the fixture in 5 or 7 steps","A0 B0 G0 A10 B0 P6 A0"
"positions the object into the box in 5 or 7 steps","A0 B0 G0 A10 B0 P6 A0"
"positions the object onto the table in 5 or 7 steps","A0 B0 G0 A10 B0 P6 A0"
"positions the object onto the WIP in 5 or 7 steps","A0 B0 G0 A10 B0 P6 A0"
"positions the object onto the fixture in 5 or 7 steps","A0 B0 G0 A10 B0 P6 A0"
"tosses the component into the box in 5 or 7 steps, 50% of the time","A0 B0 G0 A10 B3 P0 A0"
"tosses the component onto the table in 5 or 7 steps, 50% of the time","A0 B0 G0 A10 B3 P0 A0"
